Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.55588729532699E+00001, 0.49395938074246E-00002, 0.49407005184951E-00002, 0.11599631083380E+00000, 0.11590670859262E+00000, 0.39399850121952E+00001, 0.49395907277082E-00002, 0.49395938074246E-00002, 0.49395915302452E-00002, 0.11089882499605E-00005, 0.25915648218908E+00002, 0.10000521055484E+00001, 0.27808429277685E+00000, -.10671868881008E+00002, 0.49395876479922E-00002, 0.45543587890305E-00008
0.55884148287997E+00001, 0.49743758388295E-00002, 0.49750543705484E-00002, 0.11584985172840E+00000, 0.11576023741611E+00000, 0.39677848309549E+00001, 0.49743727079479E-00002, 0.49743758388295E-00002, 0.49743735365381E-00002, 0.68083401033699E-00006, 0.26389336625684E+00002, 0.10000529254448E+00001, 0.27790868011921E+00000, -.10671870937409E+00002, 0.49743695770667E-00002, 0.46045829469205E-00008
0.56179699800564E+00001, 0.50091761491304E-00002, 0.50072976650336E-00002, 0.11570221860805E+00000, 0.11561271214507E+00000, 0.39956067224021E+00001, 0.50091731159072E-00002, 0.50091761491304E-00002, 0.50091739214953E-00002, -.18762564616728E-00005, 0.26675302519956E+00002, 0.10000537529477E+00001, 0.27773154737150E+00000, -.10671873009146E+00002, 0.50091700826848E-00002, 0.44552695142776E-00008
0.56475414845043E+00001, 0.50441569795890E-00002, 0.50366693107897E-00002, 0.11555353081433E+00000, 0.11546419820280E+00000, 0.40235795190620E+00001, 0.50441541595319E-00002, 0.50441569795890E-00002, 0.50441549038877E-00002, -.74855930979775E-00005, 0.26878540088285E+00002, 0.10000545857597E+00001, 0.27755303494928E+00000, -.10671875096485E+00002, 0.50441513394749E-00002, 0.41514026856231E-00008
0.56771316507974E+00001, 0.50794795461508E-00002, 0.50682923650140E-00002, 0.11540388072213E+00000, 0.11531470716157E+00000, 0.40518258966844E+00001, 0.50794767350005E-00002, 0.50794795461508E-00002, 0.50794774861563E-00002, -.11185121142225E-00004, 0.27129408132729E+00002, 0.10000554225442E+00001, 0.27737325120030E+00000, -.10671877199715E+00002, 0.50794739238501E-00002, 0.41199892665027E-00008
0.57067162631808E+00001, 0.51152718295652E-00002, 0.51077454437632E-00002, 0.11525328660231E+00000, 0.11516419738039E+00000, 0.40804407770318E+00001, 0.51152690188896E-00002, 0.51152718295652E-00002, 0.51152697784382E-00002, -.75243346749652E-00005, 0.27318001732065E+00002, 0.10000562634424E+00001, 0.27719221562219E+00000, -.10671879317287E+00002, 0.51152662082140E-00002, 0.41022538015024E-00008
0.57362781656156E+00001, 0.51516661805741E-00002, 0.51519486653131E-00002, 0.11510162124302E+00000, 0.11501254893397E+00000, 0.41095255945747E+00001, 0.51516634749455E-00002, 0.51516661805741E-00002, 0.51516642052206E-00002, 0.28446009243761E-00006, 0.27384910751859E+00002, 0.10000571100998E+00001, 0.27700977268322E+00000, -.10671881448179E+00002, 0.51516607693168E-00002, 0.39507069949689E-00008
0.57658179077886E+00001, 0.51888119611142E-00002, 0.51932586940092E-00002, 0.11494877657641E+00000, 0.11485973439743E+00000, 0.41392025440402E+00001, 0.51888092236513E-00002, 0.51888119611142E-00002, 0.51888099669659E-00002, 0.44487270433839E-00005, 0.27506122812877E+00002, 0.10000579638333E+00001, 0.27682578947347E+00000, -.10671883592686E+00002, 0.51888064861884E-00002, 0.39882973073134E-00008
0.57953381982218E+00001, 0.52268617740137E-00002, 0.52279285055906E-00002, 0.11479480682942E+00000, 0.11470589794243E+00000, 0.41696029956888E+00001, 0.52268589437339E-00002, 0.52268617740137E-00002, 0.52268597185102E-00002, 0.10687870804316E-00005, 0.27764708289688E+00002, 0.10000588241828E+00001, 0.27664032825966E+00000, -.10671885751321E+00002, 0.52268561134542E-00002, 0.41110065109604E-00008
0.58248421578987E+00001, 0.52659730110830E-00002, 0.52587133788446E-00002, 0.11463985813132E+00000, 0.11455119497185E+00000, 0.42008603285386E+00001, 0.52659702689159E-00002, 0.52659730110830E-00002, 0.52659710135510E-00002, -.72576347064701E-00005, 0.27964750288776E+00002, 0.10000596900886E+00001, 0.27645356226236E+00000, -.10671887924696E+00002, 0.52659675267491E-00002, 0.39950637891772E-00008
0.58543329892272E+00001, 0.53062986462090E-00002, 0.52929960436405E-00002, 0.11448402086717E+00000, 0.11439562168452E+00000, 0.42330942601900E+00001, 0.53062959883002E-00002, 0.53062986462090E-00002, 0.53062966998074E-00002, -.13300656166884E-00004, 0.28273105838318E+00002, 0.10000605614698E+00001, 0.27626559789108E+00000, -.10671890113502E+00002, 0.53062933303917E-00002, 0.38928027711347E-00008
0.58838139430348E+00001, 0.53479748497379E-00002, 0.53368936368807E-00002, 0.11432719023670E+00000, 0.11423895444358E+00000, 0.42664026657516E+00001, 0.53479720931233E-00002, 0.53479748497379E-00002, 0.53479728251257E-00002, -.11079188244916E-00004, 0.28493625211830E+00002, 0.10000614390833E+00001, 0.27607630616275E+00000, -.10671892318495E+00002, 0.53479693365085E-00002, 0.40492243056111E-00008
0.59132884085437E+00001, 0.53911220160886E-00002, 0.53880698741991E-00002, 0.11416911132125E+00000, 0.11408090339065E+00000, 0.43008726950647E+00001, 0.53911191821317E-00002, 0.53911220160886E-00002, 0.53911199224122E-00002, -.30500482131419E-00005, 0.28594225612593E+00002, 0.10000623234914E+00001, 0.27588537634465E+00000, -.10671894540505E+00002, 0.53911163481748E-00002, 0.41873529121797E-00008
0.59427593458985E+00001, 0.54358532491834E-00002, 0.54388851537900E-00002, 0.11400958251109E+00000, 0.11392135171123E+00000, 0.43365959117956E+00001, 0.54358503017400E-00002, 0.54358532491834E-00002, 0.54358510624448E-00002, 0.30340913451623E-00005, 0.28568664486601E+00002, 0.10000632149404E+00001, 0.27569256127202E+00000, -.10671896780383E+00002, 0.54358473542967E-00002, 0.43734773058432E-00008
0.59722291384647E+00001, 0.54822659366065E-00002, 0.54859684512853E-00002, 0.11384853512414E+00000, 0.11376036299567E+00000, 0.43736605322719E+00001, 0.54822627128043E-00002, 0.54822659366065E-00002, 0.54822635484616E-00002, 0.37049028237192E-00005, 0.28538657989300E+00002, 0.10000641138787E+00001, 0.27549777388592E+00000, -.10671899038979E+00002, 0.54822594890022E-00002, 0.47762896913067E-00008
0.60000000000000E+00001, 0.55276250662463E-00002, 0.55276806363127E-00002, 0.11369541091485E+00000, 0.11360742570111E+00000, 0.44098915163495E+00001, 0.55276217488416E-00002, 0.55276250662463E-00002, 0.55276225995568E-00002, 0.58036755855375E-00007, 0.28576723353822E+00002, 0.10000649684488E+00001, 0.27531244180004E+00000, -.10671901185214E+00002, 0.55276184314370E-00002, 0.49333785593670E-00008
0.60016578369575E+00001, 0.55303701595711E-00002, 0.55301004473198E-00002, 0.11368623015662E+00000, 0.11359825950428E+00000, 0.44120844781191E+00001, 0.55303668466802E-00002, 0.55303701595711E-00002, 0.55303676950409E-00002, -.26724772108767E-00006, 0.28574085823259E+00002, 0.10000650197039E+00001, 0.27530132601281E+00000, -.10671901313899E+00002, 0.55303635337891E-00002, 0.49290601820286E-00008
0.60311325827631E+00001, 0.55803761160078E-00002, 0.55732063230588E-00002, 0.11352231246266E+00000, 0.11343462392717E+00000, 0.44520363590027E+00001, 0.55803729474358E-00002, 0.55803761160078E-00002, 0.55803737372593E-00002, -.71674142004620E-00005, 0.28540470148799E+00002, 0.10000659355703E+00001, 0.27510278377685E+00000, -.10671903612623E+00002, 0.55803697788637E-00002, 0.47574967358827E-00008
0.60606113430899E+00001, 0.56322577712199E-00002, 0.56203361397611E-00002, 0.11335710592534E+00000, 0.11326965279336E+00000, 0.44934889880211E+00001, 0.56322545661044E-00002, 0.56322577712199E-00002, 0.56322553675155E-00002, -.11919227754371E-00004, 0.28675394736904E+00002, 0.10000668601897E+00001, 0.27490253536522E+00000, -.10671905932679E+00002, 0.56322513609891E-00002, 0.48074087105330E-00008
0.60900755601188E+00001, 0.56859869458626E-00002, 0.56768121966396E-00002, 0.11319058766064E+00000, 0.11310324292853E+00000, 0.45364132011856E+00001, 0.56859836449218E-00002, 0.56859869458626E-00002, 0.56859844822192E-00002, -.91722855795669E-00005, 0.28790993194480E+00002, 0.10000677927360E+00001, 0.27470054927823E+00000, -.10671908273367E+00002, 0.56859803439808E-00002, 0.49272865479682E-00008
0.61195190614690E+00001, 0.57415323476269E-00002, 0.57408601287347E-00002, 0.11302250241848E+00000, 0.11293516227179E+00000, 0.45807783926698E+00001, 0.57415291147179E-00002, 0.57415323476269E-00002, 0.57415299310550E-00002, -.66980232034728E-00006, 0.28757246184718E+00002, 0.10000687331884E+00001, 0.27449651171856E+00000, -.10671910634926E+00002, 0.57415258818089E-00002, 0.48331442489109E-00008
0.61489445577534E+00001, 0.57988714736172E-00002, 0.58060947676880E-00002, 0.11285262106708E+00000, 0.11276526656779E+00000, 0.46265630825696E+00001, 0.57988681255168E-00002, 0.57988714736172E-00002, 0.57988689768615E-00002, 0.72257908264964E-00005, 0.29180232589528E+00002, 0.10000696823566E+00001, 0.27429013965395E+00000, -.10671913018288E+00002, 0.57988647774168E-00002, 0.49935114855548E-00008
0.61783559019458E+00001, 0.58579854532669E-00002, 0.58668616584886E-00002, 0.11268091382908E+00000, 0.11259358740108E+00000, 0.46737567635611E+00001, 0.58579819407112E-00002, 0.58579854532669E-00002, 0.58579828381230E-00002, 0.88788203655363E-00005, 0.30321428838228E+00002, 0.10000706409658E+00001, 0.27408139159634E+00000, -.10671915424476E+00002, 0.58579784281557E-00002, 0.52302879324214E-00008
0.62077558898276E+00001, 0.59188586416134E-00002, 0.59204688180759E-00002, 0.11250755931039E+00000, 0.11242029510385E+00000, 0.47223578418096E+00001, 0.59188552703568E-00002, 0.59188586416134E-00002, 0.59188561067301E-00002, 0.16127113458370E-00005, 0.31418166633545E+00002, 0.10000716093200E+00001, 0.27387047949763E+00000, -.10671917854420E+00002, 0.59188518991005E-00002, 0.50697658602640E-00008
0.62371438509015E+00001, 0.59814732920557E-00002, 0.59736153738783E-00002, 0.11233275823534E+00000, 0.11224553453502E+00000, 0.47723573743359E+00001, 0.59814699029805E-00002, 0.59814732920557E-00002, 0.59814707261242E-00002, -.78553522458769E-00005, 0.32724265472009E+00002, 0.10000725876289E+00001, 0.27365764285001E+00000, -.10671920308764E+00002, 0.59814665139058E-00002, 0.51318631558801E-00008
0.62665236952265E+00001, 0.60458210553895E-00002, 0.60381480625513E-00002, 0.11215636688093E+00000, 0.11206911412781E+00000, 0.48237426288685E+00001, 0.60458174093288E-00002, 0.60458210553895E-00002, 0.60458182942123E-00002, -.76702316609563E-00005, 0.33885732772552E+00002, 0.10000735763957E+00001, 0.27344270195775E+00000, -.10671922788525E+00002, 0.60458137632675E-00002, 0.55223540876937E-00008
0.62958981900264E+00001, 0.61118905009752E-00002, 0.61144071139827E-00002, 0.11197799446973E+00000, 0.11189063865069E+00000, 0.48764936398154E+00001, 0.61118868329233E-00002, 0.61118905009752E-00002, 0.61118876993605E-00002, 0.25194146221607E-00005, 0.35073933245352E+00002, 0.10000745759673E+00001, 0.27322517510865E+00000, -.10671925294635E+00002, 0.61118831648718E-00002, 0.56032298074578E-00008
0.63252565696879E+00001, 0.61796435919688E-00002, 0.61914471928711E-00002, 0.11179748293481E+00000, 0.11170998233946E+00000, 0.49305752182351E+00001, 0.61796399247389E-00002, 0.61796435919688E-00002, 0.61796407683825E-00002, 0.11806424488595E-00004, 0.36509005164457E+00002, 0.10000755858946E+00001, 0.27300486312496E+00000, -.10671927826852E+00002, 0.61796362575085E-00002, 0.56471728388483E-00008
0.63546021816624E+00001, 0.62490775147978E-00002, 0.62620935200588E-00002, 0.11161487785597E+00000, 0.11152723194402E+00000, 0.49859909475271E+00001, 0.62490736134136E-00002, 0.62490775147978E-00002, 0.62490745198163E-00002, 0.13019000242449E-00004, 0.37860256852460E+00002, 0.10000766060681E+00001, 0.27278181495592E+00000, -.10671930386123E+00002, 0.62490697120296E-00002, 0.59899626439266E-00008
0.63839438141200E+00001, 0.63201964489401E-00002, 0.63281640806029E-00002, 0.11143028181870E+00000, 0.11134251279342E+00000, 0.50427525959109E+00001, 0.63201924852946E-00002, 0.63201964489401E-00002, 0.63201934057778E-00002, 0.79706748250959E-00005, 0.39445820102510E+00002, 0.10000776371497E+00001, 0.27255614934505E+00000, -.10671932973889E+00002, 0.63201885216491E-00002, 0.60863250660711E-00008
0.64132919181277E+00001, 0.63929829261845E-00002, 0.63963361978359E-00002, 0.11124369303917E+00000, 0.11115580180575E+00000, 0.51008450197109E+00001, 0.63929790537125E-00002, 0.63929829261845E-00002, 0.63929799466304E-00002, 0.33562512054865E-00005, 0.41621245432358E+00002, 0.10000786807110E+00001, 0.27232785760203E+00000, -.10671935591761E+00002, 0.63929751812406E-00002, 0.59591083796965E-00008
0.64426381302954E+00001, 0.64673101244194E-00002, 0.64731250697586E-00002, 0.11105506666642E+00000, 0.11096698499927E+00000, 0.51601566162455E+00001, 0.64673060062870E-00002, 0.64673101244194E-00002, 0.64673069930231E-00002, 0.58180767355841E-00005, 0.43605007279078E+00002, 0.10000797374161E+00001, 0.27209687817200E+00000, -.10671938239654E+00002, 0.64673018881548E-00002, 0.62627926155134E-00008
0.64719747954811E+00001, 0.65429352120241E-00002, 0.65563033557195E-00002, 0.11086426670610E+00000, 0.11077586232771E+00000, 0.52204873842363E+00001, 0.65429308441700E-00002, 0.65429352120241E-00002, 0.65429319250375E-00002, 0.13371430682013E-00004, 0.45779709469675E+00002, 0.10000808066483E+00001, 0.27186303746077E+00000, -.10671940917452E+00002, 0.65429264763157E-00002, 0.65739727486198E-00008
0.65000000000000E+00001, 0.66160641002142E-00002, 0.66325489700806E-00002, 0.11067985188120E+00000, 0.11059103127003E+00000, 0.52788160747709E+00001, 0.66160596273832E-00002, 0.66160641002142E-00002, 0.66160607336900E-00002, 0.16488236390628E-00004, 0.48485558121815E+00002, 0.10000818392802E+00001, 0.27163683093572E+00000, -.10671943504702E+00002, 0.66160551545523E-00002, 0.67330481797098E-00008
0.65012836776094E+00001, 0.66194046288831E-00002, 0.66358685860874E-00002, 0.11067135566310E+00000, 0.11058251480044E+00000, 0.52814804350827E+00001, 0.66194001443869E-00002, 0.66194046288831E-00002, 0.66194012534314E-00002, 0.16467332655998E-00004, 0.48615164287203E+00002, 0.10000818868353E+00001, 0.27162640478311E+00000, -.10671943623896E+00002, 0.66193956598905E-00002, 0.67509032204974E-00008
0.65305973764121E+00001, 0.66961312506858E-00002, 0.67104111404916E-00002, 0.11047618040528E+00000, 0.11038688925230E+00000, 0.53426770693507E+00001, 0.66961262095285E-00002, 0.66961312506858E-00002, 0.66961274602002E-00002, 0.14283680291355E-00004, 0.51252735927404E+00002, 0.10000829790033E+00001, 0.27138678474983E+00000, -.10671946362215E+00002, 0.66961211683716E-00002, 0.75809709122095E-00008
0.65598370942954E+00001, 0.67718747843024E-00002, 0.67863097190114E-00002, 0.11027924534528E+00000, 0.11018956937377E+00000, 0.54030912619820E+00001, 0.67718690598792E-00002, 0.67718747843024E-00002, 0.67718704706023E-00002, 0.14439248409038E-00004, 0.54078528633784E+00002, 0.10000840807258E+00001, 0.27114478954399E+00000, -.10671949124843E+00002, 0.67718633354559E-00002, 0.86274003030483E-00008
0.65890130835293E+00001, 0.68452014046666E-00002, 0.68635282073412E-00002, 0.11008046022059E+00000, 0.10999043315371E+00000, 0.54615720048038E+00001, 0.68451952402365E-00002, 0.68452014046666E-00002, 0.68451967209705E-00002, 0.18331486370651E-00004, 0.56741798355700E+00002, 0.10000851927552E+00001, 0.27090030173551E+00000, -.10671951911927E+00002, 0.68451890758061E-00002, 0.93673927235629E-00008
0.66181287675425E+00001, 0.69142509860463E-00002, 0.69363825376470E-00002, 0.10987994850375E+00000, 0.10978950867780E+00000, 0.55166280558847E+00001, 0.69142441188619E-00002, 0.69142509860463E-00002, 0.69142457472086E-00002, 0.22136790438329E-00004, 0.59037425084309E+00002, 0.10000863147875E+00001, 0.27065346663676E+00000, -.10671954722322E+00002, 0.69142372516780E-00002, 0.10477675623577E-00007
0.66471730563488E+00001, 0.69768976615427E-00002, 0.70007280490237E-00002, 0.10967802902418E+00000, 0.10958707442926E+00000, 0.55665669020099E+00001, 0.69768898151245E-00002, 0.69768976615427E-00002, 0.69768916602742E-00002, 0.23836388749519E-00004, 0.61513491363769E+00002, 0.10000874450456E+00001, 0.27040467084746E+00000, -.10671957552671E+00002, 0.69768819687062E-00002, 0.12002537192076E-00007
0.66761711164764E+00001, 0.70312306945500E-00002, 0.70543007507813E-00002, 0.10947476362397E+00000, 0.10938324592211E+00000, 0.56098713139511E+00001, 0.70312219758420E-00002, 0.70312306945500E-00002, 0.70312239719038E-00002, 0.23076778877578E-00004, 0.63888013394886E+00002, 0.10000885828727E+00001, 0.27015398525528E+00000, -.10671960402339E+00002, 0.70312132571340E-00002, 0.13445292324333E-00007
0.67051236234066E+00001, 0.70760217115955E-00002, 0.70980523996518E-00002, 0.10927038882063E+00000, 0.10917833240665E+00000, 0.56455591715911E+00001, 0.70760118609513E-00002, 0.70760217115955E-00002, 0.70760140744292E-00002, 0.22038325222643E-00004, 0.63823097923805E+00002, 0.10000897267556E+00001, 0.26990169669793E+00000, -.10671963267682E+00002, 0.70760020103075E-00002, 0.15274333154189E-00007
0.67340737297973E+00001, 0.71114460503432E-00002, 0.71356636516586E-00002, 0.10906482039189E+00000, 0.10897226030894E+00000, 0.56737599568261E+00001, 0.71114347225769E-00002, 0.71114460503432E-00002, 0.71114372715250E-00002, 0.24226380133528E-00004, 0.63050968127259E+00002, 0.10000908766919E+00001, 0.26964769656213E+00000, -.10671966149058E+00002, 0.71114233948108E-00002, 0.17557636234692E-00007
0.67630585813701E+00001, 0.71390927607535E-00002, 0.71665750168330E-00002, 0.10885800515400E+00000, 0.10876493693499E+00000, 0.56957318696957E+00001, 0.71390802603043E-00002, 0.71390927607535E-00002, 0.71390830707515E-00002, 0.27491946081493E-00004, 0.60787607509688E+00002, 0.10000920325748E+00001, 0.26939191419937E+00000, -.10671969046660E+00002, 0.71390677598553E-00002, 0.19380004491886E-00007
0.67920816932610E+00001, 0.71615059271617E-00002, 0.71890531334446E-00002, 0.10865017528989E+00000, 0.10855656742735E+00000, 0.57135000726300E+00001, 0.71614924616531E-00002, 0.71615059271617E-00002, 0.71614955336743E-00002, 0.27557599770284E-00004, 0.58478401333507E+00002, 0.10000931940258E+00001, 0.26913463209565E+00000, -.10671971958194E+00002, 0.71614789961439E-00002, 0.20786974569448E-00007
0.68211785481717E+00001, 0.71815784231712E-00002, 0.72088439167700E-00002, 0.10844124632751E+00000, 0.10834707392711E+00000, 0.57293738949408E+00001, 0.71815642700486E-00002, 0.71815784231712E-00002, 0.71815675853273E-00002, 0.27276331442622E-00004, 0.51948693762627E+00002, 0.10000943628685E+00001, 0.26887574122322E+00000, -.10671974885703E+00002, 0.71815501169260E-00002, 0.21675687555034E-00007
0.68503727133194E+00001, 0.72018354013652E-00002, 0.72316838979284E-00002, 0.10823101231314E+00000, 0.10813626258427E+00000, 0.57453713343698E+00001, 0.72018212869624E-00002, 0.72018354013652E-00002, 0.72018246074929E-00002, 0.29859290435530E-00004, 0.46830971541552E+00002, 0.10000955400619E+00001, 0.26861498135577E+00000, -.10671977831172E+00002, 0.72018071725594E-00002, 0.21587743820928E-00007
0.68796821136826E+00001, 0.72241606251785E-00002, 0.72561346610379E-00002, 0.10801926148459E+00000, 0.10792391899442E+00000, 0.57629948306270E+00001, 0.72241463787292E-00002, 0.72241606251785E-00002, 0.72241496948730E-00002, 0.31984966164921E-00004, 0.43808862770943E+00002, 0.10000967253569E+00001, 0.26835208400481E+00000, -.10671980796965E+00002, 0.72241321322803E-00002, 0.21860610147773E-00007
0.69090923188614E+00001, 0.72499529361135E-00002, 0.72813326684446E-00002, 0.10780606812003E+00000, 0.10771012224646E+00000, 0.57833629629533E+00001, 0.72499397488252E-00002, 0.72499529361135E-00002, 0.72499428828932E-00002, 0.31389785551452E-00004, 0.39786550257612E+00002, 0.10000979170895E+00001, 0.26808713523782E+00000, -.10671983782798E+00002, 0.72499265615366E-00002, 0.20106441213810E-00007
0.69385068079613E+00001, 0.72799924510135E-00002, 0.73098120140648E-00002, 0.10759203824193E+00000, 0.10749551689344E+00000, 0.58071023878625E+00001, 0.72799813633249E-00002, 0.72799924510135E-00002, 0.72799841217633E-00002, 0.29827892301451E-00004, 0.37101573064665E+00002, 0.10000991117341E+00001, 0.26782088323097E+00000, -.10671986780470E+00002, 0.72799702756361E-00002, 0.16658500139127E-00007
0.69678632045713E+00001, 0.73146973155317E-00002, 0.73428972854863E-00002, 0.10737745612752E+00000, 0.10728043450497E+00000, 0.58345488681651E+00001, 0.73146864898986E-00002, 0.73146973155317E-00002, 0.73146891585212E-00002, 0.28208126965096E-00004, 0.37098158013922E+00002, 0.10001003092520E+00001, 0.26755367826228E+00000, -.10671989785515E+00002, 0.73146756642653E-00002, 0.16314021289393E-00007
0.69971754292530E+00001, 0.73544418908400E-00002, 0.73823739018122E-00002, 0.10716206029967E+00000, 0.10706462017311E+00000, 0.58660076375164E+00001, 0.73544311418118E-00002, 0.73544418908400E-00002, 0.73544337469168E-00002, 0.27940154895401E-00004, 0.36833853671102E+00002, 0.10001015131355E+00001, 0.26728519138387E+00000, -.10671992801320E+00002, 0.73544203927835E-00002, 0.16287846009711E-00007
0.70000000000000E+00001, 0.73585594768817E-00002, 0.73866347711459E-00002, 0.10714123791228E+00000, 0.10704376044472E+00000, 0.58692681834078E+00001, 0.73585487650509E-00002, 0.73585594768817E-00002, 0.73585513612554E-00002, 0.28083409890410E-00004, 0.36800802275627E+00002, 0.10001016296318E+00001, 0.26725922236945E+00000, -.10671993092812E+00002, 0.73585380532203E-00002, 0.16231252805870E-00007
0.70263512206833E+00001, 0.73992329531004E-00002, 0.74297572910081E-00002, 0.10694636000535E+00000, 0.10684854292284E+00000, 0.59014850048075E+00001, 0.73992226466761E-00002, 0.73992329531004E-00002, 0.73992251637897E-00002, 0.30532127218399E-00004, 0.36747761752589E+00002, 0.10001027204119E+00001, 0.26701605445535E+00000, -.10671995820342E+00002, 0.73992123402523E-00002, 0.15578621756564E-00007
0.70555893748706E+00001, 0.74492510976105E-00002, 0.74810930050281E-00002, 0.10672875028678E+00000, 0.10663054713752E+00000, 0.59411188327298E+00001, 0.74492415365116E-00002, 0.74492510976105E-00002, 0.74492438036577E-00002, 0.31849201370388E-00004, 0.36511385703759E+00002, 0.10001039378985E+00001, 0.26674425990298E+00000, -.10671998865219E+00002, 0.74492319754118E-00002, 0.14587906141466E-00007
0.70847655111144E+00001, 0.75040950278439E-00002, 0.75331442767837E-00002, 0.10651012244798E+00000, 0.10641150981330E+00000, 0.59845853149165E+00001, 0.75040856222959E-00002, 0.75040950278439E-00002, 0.75040878270102E-00002, 0.29056449773460E-00004, 0.36034754992478E+00002, 0.10001051591367E+00001, 0.26647091454538E+00000, -.10672001925069E+00002, 0.75040762167486E-00002, 0.14401667734161E-00007
0.71138980688883E+00001, 0.75636078849784E-00002, 0.75899808566945E-00002, 0.10629024991549E+00000, 0.10619122463850E+00000, 0.60317610483478E+00001, 0.75635981326999E-00002, 0.75636078849784E-00002, 0.75636004899691E-00002, 0.26380366725338E-00004, 0.35241376163015E+00002, 0.10001063856610E+00001, 0.26619572988748E+00000, -.10672005003706E+00002, 0.75635883804227E-00002, 0.14790018847929E-00007
0.71430032285980E+00001, 0.76276590210656E-00002, 0.76527370983431E-00002, 0.10606879631052E+00000, 0.10596939883712E+00000, 0.60825493812555E+00001, 0.76276484869792E-00002, 0.76276590210656E-00002, 0.76276510332998E-00002, 0.25086065043293E-00004, 0.34877273383684E+00002, 0.10001076208647E+00001, 0.26591827856257E+00000, -.10672008104683E+00002, 0.76276379528923E-00002, 0.15975531642000E-00007
0.71720926033066E+00001, 0.76962024691715E-00002, 0.77190293665806E-00002, 0.10584549317612E+00000, 0.10574581313070E+00000, 0.61369228861073E+00001, 0.76961914259741E-00002, 0.76962024691715E-00002, 0.76961940152178E-00002, 0.22835351362847E-00004, 0.33791922676588E+00002, 0.10001088680794E+00001, 0.26563821659809E+00000, -.10672011231024E+00002, 0.76961803827769E-00002, 0.16907907968550E-00007
0.72011552894142E+00001, 0.77692556280900E-00002, 0.77902575560282E-00002, 0.10562029235731E+00000, 0.10552043965125E+00000, 0.61948971414613E+00001, 0.77692437168205E-00002, 0.77692556280900E-00002, 0.77692464445030E-00002, 0.21011111525223E-00004, 0.33158641549443E+00002, 0.10001101278467E+00001, 0.26535547523692E+00000, -.10672014383349E+00002, 0.77692318055515E-00002, 0.18367174887448E-00007
0.72301835763613E+00001, 0.78468680404201E-00002, 0.78676795647392E-00002, 0.10539312945442E+00000, 0.10529317393797E+00000, 0.62565117090507E+00001, 0.78468559868171E-00002, 0.78468680404201E-00002, 0.78468588168428E-00002, 0.20820747896399E-00004, 0.34523419531212E+00002, 0.10001113988396E+00001, 0.26506996492049E+00000, -.10672017562569E+00002, 0.78468439332140E-00002, 0.18447154335968E-00007
0.72591691945640E+00001, 0.79289165347599E-00002, 0.79491960185869E-00002, 0.10516399893305E+00000, 0.10506393314019E+00000, 0.63216701735245E+00001, 0.79289040811515E-00002, 0.79289165347599E-00002, 0.79289070550987E-00002, 0.20288963488254E-00004, 0.35986162901875E+00002, 0.10001126795073E+00001, 0.26478166972438E+00000, -.10672020769542E+00002, 0.79288916275435E-00002, 0.18959322871501E-00007
0.72881153363394E+00001, 0.80152327145017E-00002, 0.80344927144491E-00002, 0.10493282186524E+00000, 0.10483259336272E+00000, 0.63902519665563E+00001, 0.80152199141065E-00002, 0.80152327145017E-00002, 0.80152230019777E-00002, 0.19269712471373E-00004, 0.37440316392260E+00002, 0.10001139701088E+00001, 0.26449048107035E+00000, -.10672024006292E+00002, 0.80152071137100E-00002, 0.19425048593614E-00007
0.73170359331226E+00001, 0.81053167400867E-00002, 0.81240787676951E-00002, 0.10469934059381E+00000, 0.10459892290539E+00000, 0.64618706706644E+00001, 0.81053022919741E-00002, 0.81053167400867E-00002, 0.81053057618495E-00002, 0.18773005845573E-00004, 0.39054750087400E+00002, 0.10001152727856E+00001, 0.26419606430806E+00000, -.10672027275983E+00002, 0.81052878438614E-00002, 0.21956474174805E-00007
0.73459471506660E+00001, 0.81988591451298E-00002, 0.82157543953478E-00002, 0.10446327208988E+00000, 0.10436270049222E+00000, 0.65362885493085E+00001, 0.81988442373215E-00002, 0.81988591451298E-00002, 0.81988476905574E-00002, 0.16906704790445E-00004, 0.40310806073098E+00002, 0.10001165903868E+00001, 0.26389805113576E+00000, -.10672030581821E+00002, 0.81988293295124E-00002, 0.22909144882110E-00007
0.73748620977381E+00001, 0.82945034991247E-00002, 0.83081623463737E-00002, 0.10422443302660E+00000, 0.10412378226829E+00000, 0.66124180381694E+00001, 0.82944866344647E-00002, 0.82945034991247E-00002, 0.82944903512590E-00002, 0.13671995114712E-00004, 0.41625231014896E+00002, 0.10001179252479E+00001, 0.26359619752771E+00000, -.10672033926514E+00002, 0.82944697698044E-00002, 0.26295732210001E-00007
0.74037977645114E+00001, 0.83919319903844E-00002, 0.84029389048818E-00002, 0.10398264472979E+00000, 0.10388198546461E+00000, 0.66900156262571E+00001, 0.83919152386898E-00002, 0.83919319903844E-00002, 0.83919190173812E-00002, 0.11019887500629E-00004, 0.42872908118495E+00002, 0.10001192784151E+00001, 0.26329026406838E+00000, -.10672037312712E+00002, 0.83918984869946E-00002, 0.25946006785903E-00007
