Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.76698469481330E+00000, 0.49722241467214E-00003, 0.47795291654348E-00003, 0.12465461742541E+00000, 0.12464321704173E+00000, 0.39781589335438E+00000, 0.49722230300714E-00003, 0.49722241467214E-00003, 0.49722234022879E-00003, -.19269423685308E-00004, 0.17329980117438E+00001, 0.10000022289277E+00001, 0.28827604528230E+00000, -.10671745727780E+00002, 0.49722219134215E-00003, 0.14888664899072E-00009
0.79767320801230E+00000, 0.49969815517383E-00003, 0.47254322354168E-00003, 0.12464077076450E+00000, 0.12462862980739E+00000, 0.39979804650381E+00000, 0.49969782061082E-00003, 0.49969815517383E-00003, 0.49969793213185E-00003, -.27154708590167E-00004, 0.17135778154758E+00001, 0.10000023239921E+00001, 0.28826003395604E+00000, -.10671745943256E+00002, 0.49969748604782E-00003, 0.44608399410995E-00009
0.82836112406059E+00000, 0.50228944966780E-00003, 0.46989891055103E-00003, 0.12462708919356E+00000, 0.12461418542573E+00000, 0.40187352894084E+00000, 0.50228854834892E-00003, 0.50228944966780E-00003, 0.50228884878858E-00003, -.32389938237542E-00004, 0.16937612312700E+00001, 0.10000024247229E+00001, 0.28824421265489E+00000, -.10671746159833E+00002, 0.50228764703006E-00003, 0.12017585084382E-00008
0.85904848612095E+00000, 0.50499617669997E-00003, 0.47436559967941E-00003, 0.12461341020434E+00000, 0.12459971293465E+00000, 0.40404252538689E+00000, 0.50499510650720E-00003, 0.50499617669997E-00003, 0.50499546323818E-00003, -.30629863558767E-00004, 0.16735708058312E+00001, 0.10000025287925E+00001, 0.28822839347103E+00000, -.10671746377556E+00002, 0.50499403631447E-00003, 0.14269236894934E-00008
0.88973487025049E+00000, 0.50781884147133E-00003, 0.48197363792663E-00003, 0.12459950004847E+00000, 0.12458504034999E+00000, 0.40630440171370E+00000, 0.50781828297854E-00003, 0.50781884147133E-00003, 0.50781846914282E-00003, -.25844831216188E-00004, 0.16529954035618E+00001, 0.10000026316311E+00001, 0.28821230606212E+00000, -.10671746596474E+00002, 0.50781772448572E-00003, 0.74465707100594E-00009
0.92041994456754E+00000, 0.51076073708079E-00003, 0.48918894855255E-00003, 0.12458533089087E+00000, 0.12457013874922E+00000, 0.40865976705438E+00000, 0.51076050121648E-00003, 0.51076073708079E-00003, 0.51076057983790E-00003, -.21571631285346E-00004, 0.16320433466704E+00001, 0.10000027304684E+00001, 0.28819591818862E+00000, -.10671746816639E+00002, 0.51076026535216E-00003, 0.31448573281184E-00009
0.95110361400089E+00000, 0.51382433195133E-00003, 0.49473026675522E-00003, 0.12457104920686E+00000, 0.12455503456825E+00000, 0.41111137501095E+00000, 0.51382417774559E-00003, 0.51382433195133E-00003, 0.51382422914750E-00003, -.19093962392272E-00004, 0.16107708969404E+00001, 0.10000028265046E+00001, 0.28817939922539E+00000, -.10671747038108E+00002, 0.51382402353988E-00003, 0.20560762817905E-00009
0.98178597411877E+00000, 0.51701211599114E-00003, 0.49515794774931E-00003, 0.12455686511646E+00000, 0.12453983432965E+00000, 0.41366284208428E+00000, 0.51701186741335E-00003, 0.51701211599114E-00003, 0.51701195027258E-00003, -.21854002523271E-00004, 0.15892461114029E+00001, 0.10000029240604E+00001, 0.28816299220691E+00000, -.10671747260939E+00002, 0.51701161883550E-00003, 0.33143709655445E-00009
0.10000000000000E+00001, 0.51896534551704E-00003, 0.49377019663833E-00003, 0.12454852642207E+00000, 0.12453082798170E+00000, 0.41522646210036E+00000, 0.51896478765560E-00003, 0.51896534551704E-00003, 0.51896497360937E-00003, -.25194776971045E-00004, 0.15763559233607E+00001, 0.10000029843810E+00001, 0.28815334623781E+00000, -.10671747393887E+00002, 0.51896422979412E-00003, 0.74381527584262E-00009
0.10124642129097E+00001, 0.52032634692578E-00003, 0.49313898226964E-00003, 0.12454282993778E+00000, 0.12452467806458E+00000, 0.41631613108187E+00000, 0.52032552389180E-00003, 0.52032634692578E-00003, 0.52032579823642E-00003, -.27186815966775E-00004, 0.15674977925161E+00001, 0.10000030268548E+00001, 0.28814675651801E+00000, -.10671747485161E+00002, 0.52032470085783E-00003, 0.10973786140307E-00008
